"SYMBOL","Date","1Day","1Week","1Month","3Months","6Months","1Year","2Years","Day1Prior","Day2Prior","Day3Prior","Week1Prior","Week2Prior","Week3Prior","Month1Prior","Month2Prior","Month3Prior","Month4Prior","Month5Prior","Month6Prior","Month7Prior","Year1Prior","Year2Prior"
"ALT",2024-02-14,-0.00665926748057719,-0.0876803551609322,NA,NA,NA,NA,NA,0.0650118203309691,-0.133653846153846,-0.136973180076628,-0.129468599033816,-0.0455508474576271,-0.0363636363636363,-0.249166666666667,0.17470664928292,2.81779661016949,2.41287878787879,2.08561643835616,2.3125,1.815625,-0.272213247172859,0.202937249666222
"JOBY",2023-10-11,0.00816993464052285,0.0245098039215685,-0.151960784313725,0.00490196078431377,NA,NA,NA,-0.0670731707317073,-0.0555555555555556,-0.0540958268933539,-0.0208,-0.0540958268933539,-0.0755287009063444,-0.159340659340659,-0.202086049543677,-0.420454545454545,-0.216389244558259,0.313304721030043,0.481840193704601,0.614775725593668,0.478260869565218,-0.322259136212625
"TLRY",2023-09-19,0.0040650406504066,-0.024390243902439,-0.223577235772358,-0.195121951219512,NA,NA,NA,-0.0390625,-0.160409556313993,-0.160409556313993,-0.154639175257732,-0.203883495145631,0.025,-0.0681818181818182,0.464285714285714,0.556962025316456,-0.0276679841897233,0.0695652173913044,-0.0751879699248121,-0.115107913669065,-0.236024844720497,-0.797863599013969
"CVNA",2023-06-13,-0.00467886005954925,0.000425350914504382,0.602722245852829,1.16120799659719,0.680136112292641,NA,NA,0.105832549388523,0.232826428945989,0.232826428945989,0.590663058186739,0.713556851311953,0.973971452560873,1.23904761904762,1.62095875139353,2.33475177304965,1.13339382940109,2.34900284900285,3.86749482401656,1.36757301107754,0.117926771279125,-0.914403262215102
"UEC",2023-03-27,0.00709219858156029,0.0567375886524823,-0.106382978723404,0.209219858156028,0.914893617021277,NA,NA,0.0329670329670329,0.0329670329670329,0.0329670329670329,-0.132307692307692,-0.165680473372781,-0.205633802816901,-0.203389830508475,-0.286075949367089,-0.255936675461741,-0.267532467532468,-0.33175355450237,-0.124223602484472,-0.369127516778524,-0.422131147540984,-0.0754098360655738
"AI",2023-03-07,-0.0504973221117062,-0.192807957153787,-0.126243305279266,0.351185921958684,0.202371843917368,NA,NA,-0.0445906432748538,-0.0821629213483146,-0.0821629213483146,0.157661647475642,0.208506703652335,0.121407121407121,0.0100463678516229,1.38721461187215,1.18196994991653,1.10297666934835,1.08452950558214,0.82925122463261,0.224355971896955,0.282630029440628,-0.725275880189175
"ASTS",2022-09-19,-0.0308571428571428,-0.189714285714286,-0.218285714285714,-0.558857142857143,-0.309714285714286,-0.526857142857143,NA,0.0269953051643193,0.0269953051643193,0.0269953051643193,-0.19280442804428,-0.200913242009132,-0.281609195402299,-0.288039056143206,0.313813813813814,0.337920489296636,0.131953428201811,0.179245283018868,-0.115267947421638,0.311844077961019,-0.324324324324324,-0.138779527559055
"PAYC",2022-08-01,0.0174651303820497,0.108186779866586,0.0576409945421467,0.0287750151607035,-0.0490903577926016,0.118101879927229,NA,0.00475262003412138,0.00475262003412138,0.00475262003412138,0.0473831300813009,0.107677839725935,0.0378902316213495,0.140426709083993,0.0955718699132978,0.151174561066704,-0.0539028658309187,0.0424502955400323,-0.0096690889436069,-0.179969168034214,-0.169834117854356,0.167722975604575
"LWLG",2022-06-06,0.00151515151515162,-0.165151515151515,0.0606060606060607,0.146969696969697,0.090909090909091,0.295454545454546,NA,-0.0489913544668589,-0.0489913544668589,-0.0489913544668589,-0.172932330827068,-0.145077720207254,-0.121171770972037,-0.401088929219601,-0.31321540062435,-0.0896551724137932,-0.0476190476190476,-0.497334348819497,-0.57501609787508,-0.4770206022187,1.03703703703704,7.91891891891892
"ASTR",2021-12-30,0.0266666666666667,-0.115555555555556,-0.355555555555556,-0.386666666666667,-0.807407407407407,-0.935703703703704,-0.977481481481482,0.021180030257186,-0.124513618677043,-0.157303370786517,-0.183796856106409,-0.220554272517321,-0.25414364640884,-0.384685505925251,-0.306981519507187,-0.201183431952663,-0.296875,-0.205882352941176,-0.476744186046512,-0.332344213649852,-0.338235294117647,NA
"HUBS",2021-12-23,NA,-0.0174074074074074,-0.366414814814815,-0.312651851851852,-0.513348148148148,-0.583362962962963,-0.140888888888889,-0.00521708373861521,-0.00764481034989716,0.0366275051831376,0.0373762832728838,-0.0865293528567949,-0.149574157133498,-0.103918861512319,-0.170924633978579,-0.0780451826153468,-0.0149580445093032,0.129480271744587,0.147393292423805,0.353600577536246,0.642655504721114,3.27892234548336
"MMAT",2021-12-15,-0.0429042904290429,-0.108910891089109,-0.293729372937294,-0.442244224422442,-0.495049504950495,-0.547854785478548,-0.976897689768977,0.0412371134020619,-0.0194174757281553,-0.0319488817891374,-0.111436950146628,-0.0982142857142857,-0.26634382566586,-0.364779874213836,-0.392785571142285,-0.407045009784736,0.0412371134020619,-0.165289256198347,-0.747078464106845,-0.27511961722488,1.70535714285714,1.10416666666667
"CEI",2021-10-06,0.956043956043956,0.56043956043956,0.450549450549451,0,-0.0989010989010989,-0.747252747252747,-0.993626373626374,-0.405228758169935,-0.705501618122977,-0.72,-0.733918128654971,-0.376712328767123,-0.445121951219512,0.0963855421686747,0.978260869565217,0.654545454545455,0.3,0.378787878787879,-0.0618556701030928,-0.294573643410853,0.28169014084507,-0.878666666666667
